id,name,url,source_group,opportunity_types,countries_covered,sectors,access_method,automation_priority,review_frequency,notes
south-korea-international-ngo-country-offices-in-south-korea-ingo-country-offices,International NGO country offices in South Korea,https://www.google.com/search?q=%22South+Korea%22+%28%22Save+the+Children%22+OR+%22World+Vision%22+OR+IRC+OR+CARE+OR+%22Plan+International%22+OR+Oxfam+OR+%22Danish+Refugee+Council%22+OR+%22Norwegian+Refugee+Council%22%29+%28jobs+OR+vacancies+OR+careers+OR+consultancy%29,INGO country offices,"NGO jobs, humanitarian roles, development roles, consultancies, internships",South Korea,INGO country offices,Search link/manual review,Medium,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""South Korea"" (""Save the Children"" OR ""World Vision"" OR IRC OR CARE OR ""Plan International"" OR Oxfam OR ""Danish Refugee Council"" OR ""Norwegian Refugee Council"") (jobs OR vacancies OR careers OR consultancy). Core INGOs to check: Save the Children, World Vision, IRC, CARE, Plan, Oxfam, DRC, NRC, CRS, Mercy Corps, MSF, ActionAid, WaterAid. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
south-korea-donors-bilateral-agencies-contractors-and-development-programmes-in-south-kore,"Donors, bilateral agencies, contractors and development programmes in South Korea",https://www.google.com/search?q=%22South+Korea%22+%28USAID+OR+FCDO+OR+GIZ+OR+Enabel+OR+JICA+OR+%22EU+Delegation%22+OR+%22World+Bank%22+OR+%22African+Development+Bank%22+OR+%22Asian+Development+Bank%22%29+%28jobs+OR+vacancies+OR+careers+OR+consultants+OR+procurement%29,"Donors, contractors and development agencies","Donor programme jobs, project jobs, consultancies, RFPs, grants, internships",South Korea,"Donors, contractors and development agencies",Search link/manual review,High,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""South Korea"" (USAID OR FCDO OR GIZ OR Enabel OR JICA OR ""EU Delegation"" OR ""World Bank"" OR ""African Development Bank"" OR ""Asian Development Bank"") (jobs OR vacancies OR careers OR consultants OR procurement). Check USAID, FCDO/British Embassy, GIZ, EU Delegation, Enabel, JICA, World Bank, regional development banks and their contractors. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
south-sudan-south-sudan-public-service-commission-civil-service-commission-civil-service-a,South Sudan Public Service Commission / Civil Service Commission / Civil Service Agency,https://www.google.com/search?q=%22South+Sudan%22+%28%22Public+Service+Commission%22+OR+%22Civil+Service+Commission%22+OR+%22Civil+Service%22+OR+%22Public+Service%22%29+%28jobs+OR+vacancies+OR+recruitment%29,Public service / civil service recruitment,"Government jobs, civil service jobs, public-sector vacancies",South Sudan,Public service / civil service recruitment,Search link/manual review,High,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""South Sudan"" (""Public Service Commission"" OR ""Civil Service Commission"" OR ""Civil Service"" OR ""Public Service"") (jobs OR vacancies OR recruitment). Find the official government/civil service recruitment source; the exact title varies by country. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
south-sudan-south-sudan-ministry-responsible-for-labour-employment-manpower-social-protect,"South Sudan ministry responsible for labour, employment, manpower, social protection or workforce",https://www.google.com/search?q=%22South+Sudan%22+%28%22Ministry+of+Labour%22+OR+%22Ministry+of+Labor%22+OR+%22Ministry+of+Employment%22+OR+%22Ministry+of+Manpower%22+OR+%22Department+of+Labour%22%29+%28jobs+OR+vacancies+OR+employment+service+OR+job+portal%29,Ministry of labour / employment,"Labour-market programmes, public employment service, official job portal, licensed recruitment information",South Sudan,Ministry of labour / employment,Search link/manual review,Medium,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""South Sudan"" (""Ministry of Labour"" OR ""Ministry of Labor"" OR ""Ministry of Employment"" OR ""Ministry of Manpower"" OR ""Department of Labour"") (jobs OR vacancies OR employment service OR job portal). Find the ministry or department responsible for labour/employment; title varies by country. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
south-sudan-south-sudan-national-universities-and-public-research-institutions-career-page,South Sudan national universities and public research institutions career pages,https://www.google.com/search?q=%22South+Sudan%22+%28%22national+university%22+OR+university+OR+%22research+institute%22%29+%28careers+OR+vacancies+OR+jobs+OR+opportunities%29,National universities and public research institutions,"Academic jobs, research assistantships, project jobs, grants/fellowships, internships",South Sudan,National universities and public research institutions,Search link/manual review,Medium,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""South Sudan"" (""national university"" OR university OR ""research institute"") (careers OR vacancies OR jobs OR opportunities). Start with the largest public/national universities and research institutes. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
south-sudan-embassies-high-commissions-and-foreign-missions-in-south-sudan-embassies-and-h,"Embassies, high commissions and foreign missions in South Sudan",https://www.google.com/search?q=%22South+Sudan%22+%28embassy+OR+%22high+commission%22+OR+%22foreign+mission%22%29+%28jobs+OR+vacancies+OR+careers%29,Embassies and high commissions,"Embassy jobs, programme jobs, visa/local staff roles, development office vacancies",South Sudan,Embassies and high commissions,Search link/manual review,Medium,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""South Sudan"" (embassy OR ""high commission"" OR ""foreign mission"") (jobs OR vacancies OR careers). Check embassy/high commission websites and official social media pages. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
south-sudan-united-nations-in-south-sudan-un-country-team-un-agency-country-offices-un-cou,United Nations in South Sudan / UN Country Team / UN agency country offices,https://www.google.com/search?q=%22United+Nations+in+South+Sudan%22+OR+%22UN+Country+Team+South+Sudan%22+jobs+vacancies+consultancy,UN country team and UN agencies,"UN national officer roles, consultancies, internships, project jobs",South Sudan,UN country team and UN agencies,Search link/manual review,High,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""United Nations in South Sudan"" OR ""UN Country Team South Sudan"" jobs vacancies consultancy. Use UNSDG, UN country websites, UNDP, UNICEF, WHO, WFP, FAO, IOM, UNFPA and UNOPS country offices. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
south-sudan-international-ngo-country-offices-in-south-sudan-ingo-country-offices,International NGO country offices in South Sudan,https://www.google.com/search?q=%22South+Sudan%22+%28%22Save+the+Children%22+OR+%22World+Vision%22+OR+IRC+OR+CARE+OR+%22Plan+International%22+OR+Oxfam+OR+%22Danish+Refugee+Council%22+OR+%22Norwegian+Refugee+Council%22%29+%28jobs+OR+vacancies+OR+careers+OR+consultancy%29,INGO country offices,"NGO jobs, humanitarian roles, development roles, consultancies, internships",South Sudan,INGO country offices,Search link/manual review,Medium,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""South Sudan"" (""Save the Children"" OR ""World Vision"" OR IRC OR CARE OR ""Plan International"" OR Oxfam OR ""Danish Refugee Council"" OR ""Norwegian Refugee Council"") (jobs OR vacancies OR careers OR consultancy). Core INGOs to check: Save the Children, World Vision, IRC, CARE, Plan, Oxfam, DRC, NRC, CRS, Mercy Corps, MSF, ActionAid, WaterAid. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
south-sudan-donors-bilateral-agencies-contractors-and-development-programmes-in-south-suda,"Donors, bilateral agencies, contractors and development programmes in South Sudan",https://www.google.com/search?q=%22South+Sudan%22+%28USAID+OR+FCDO+OR+GIZ+OR+Enabel+OR+JICA+OR+%22EU+Delegation%22+OR+%22World+Bank%22+OR+%22African+Development+Bank%22+OR+%22Asian+Development+Bank%22%29+%28jobs+OR+vacancies+OR+careers+OR+consultants+OR+procurement%29,"Donors, contractors and development agencies","Donor programme jobs, project jobs, consultancies, RFPs, grants, internships",South Sudan,"Donors, contractors and development agencies",Search link/manual review,High,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""South Sudan"" (USAID OR FCDO OR GIZ OR Enabel OR JICA OR ""EU Delegation"" OR ""World Bank"" OR ""African Development Bank"" OR ""Asian Development Bank"") (jobs OR vacancies OR careers OR consultants OR procurement). Check USAID, FCDO/British Embassy, GIZ, EU Delegation, Enabel, JICA, World Bank, regional development banks and their contractors. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
spain-spain-public-service-commission-civil-service-commission-civil-service-agency-public,Spain Public Service Commission / Civil Service Commission / Civil Service Agency,https://www.google.com/search?q=%22Spain%22+%28%22Public+Service+Commission%22+OR+%22Civil+Service+Commission%22+OR+%22Civil+Service%22+OR+%22Public+Service%22%29+%28jobs+OR+vacancies+OR+recruitment%29,Public service / civil service recruitment,"Government jobs, civil service jobs, public-sector vacancies",Spain,Public service / civil service recruitment,Search link/manual review,High,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Spain"" (""Public Service Commission"" OR ""Civil Service Commission"" OR ""Civil Service"" OR ""Public Service"") (jobs OR vacancies OR recruitment). Find the official government/civil service recruitment source; the exact title varies by country. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
spain-spain-ministry-responsible-for-labour-employment-manpower-social-protection-or-workf,"Spain ministry responsible for labour, employment, manpower, social protection or workforce",https://www.google.com/search?q=%22Spain%22+%28%22Ministry+of+Labour%22+OR+%22Ministry+of+Labor%22+OR+%22Ministry+of+Employment%22+OR+%22Ministry+of+Manpower%22+OR+%22Department+of+Labour%22%29+%28jobs+OR+vacancies+OR+employment+service+OR+job+portal%29,Ministry of labour / employment,"Labour-market programmes, public employment service, official job portal, licensed recruitment information",Spain,Ministry of labour / employment,Search link/manual review,Medium,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Spain"" (""Ministry of Labour"" OR ""Ministry of Labor"" OR ""Ministry of Employment"" OR ""Ministry of Manpower"" OR ""Department of Labour"") (jobs OR vacancies OR employment service OR job portal). Find the ministry or department responsible for labour/employment; title varies by country. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
